problem,algorithm,dataset,problem_size,algorithm_time(ms),total_time(ms),f(solution)
set_coverage,PURE_PYTHON,example.dat,9,0:00:00,0:00:00.001999,46
set_coverage,PURE_PYTHON,accidents.dat,340183,0:00:54.056019,0:00:54.057033,76
set_coverage,PURE_PYTHON,chess.dat,3196,0:00:00.357033,0:00:00.358033,60
set_coverage,PURE_PYTHON,chess_small.dat,221,0:00:00.026000,0:00:00.027000,46
set_coverage,PURE_PYTHON,mushroom.dat,8124,0:00:00.686998,0:00:00.688000,51
set_coverage,PURE_PYTHON,pumsb.dat,49046,0:00:11.217547,0:00:11.218547,146
set_coverage,PURE_PYTHON,retail.dat,88162,0:00:06.258054,0:00:06.260054,119
set_coverage,FULL_SPARK,example.dat,9,0:00:20.291117,0:00:24.138034,50
set_coverage,FULL_SPARK,accidents.dat,340183,0:00:38.838354,0:00:42.106740,76
set_coverage,FULL_SPARK,chess.dat,3196,0:00:21.078926,0:00:24.534929,58
set_coverage,FULL_SPARK,chess_small.dat,221,0:00:20.189337,0:00:23.462586,47
set_coverage,FULL_SPARK,mushroom.dat,8124,0:00:20.345444,0:00:23.608854,49
set_coverage,FULL_SPARK,pumsb.dat,49046,0:00:24.026233,0:00:27.301310,144
set_coverage,FULL_SPARK,retail.dat,88162,0:00:23.807773,0:00:27.078206,101
set_coverage,INTERMEDIATE_COLLECT,example.dat,9,0:00:17.801750,0:00:21.362783,50
set_coverage,INTERMEDIATE_COLLECT,accidents.dat,340183,0:01:15.292316,0:01:18.593825,76
set_coverage,INTERMEDIATE_COLLECT,chess.dat,3196,0:00:17.949609,0:00:21.449907,59
set_coverage,INTERMEDIATE_COLLECT,chess_small.dat,221,0:00:17.180999,0:00:20.364876,47
set_coverage,INTERMEDIATE_COLLECT,mushroom.dat,8124,0:00:19.048681,0:00:22.246521,47
set_coverage,INTERMEDIATE_COLLECT,pumsb.dat,49046,0:00:25.498316,0:00:28.671953,141
set_coverage,INTERMEDIATE_COLLECT,retail.dat,88162,0:00:22.370969,0:00:25.558457,111
set_coverage,CONFIG,example.dat,9,0:00:10.698293,0:00:13.877251,50
set_coverage,CONFIG,accidents.dat,340183,0:01:02.894799,0:01:06.059529,80
set_coverage,CONFIG,chess.dat,3196,0:00:13.218315,0:00:16.687373,60
set_coverage,CONFIG,chess_small.dat,221,0:00:10.540126,0:00:21.044860,47
set_coverage,CONFIG,mushroom.dat,8124,0:00:11.064864,0:00:14.219745,48
set_coverage,CONFIG,pumsb.dat,49046,0:00:18.107556,0:00:21.252177,147
set_coverage,CONFIG,retail.dat,88162,0:00:15.789359,0:00:18.934196,140
set_coverage,SINGLE_PARTITION,example.dat,9,0:00:08.159805,0:00:11.323926,41
set_coverage,SINGLE_PARTITION,accidents.dat,340183,0:01:00.973628,0:01:04.118803,81
set_coverage,SINGLE_PARTITION,chess.dat,3196,0:00:08.681894,0:00:11.864956,59
set_coverage,SINGLE_PARTITION,chess_small.dat,221,0:00:08.399806,0:00:11.560080,47
set_coverage,SINGLE_PARTITION,mushroom.dat,8124,0:00:09.125692,0:00:12.394333,47
set_coverage,SINGLE_PARTITION,pumsb.dat,49046,0:00:15.789098,0:00:18.967365,146
set_coverage,SINGLE_PARTITION,retail.dat,88162,0:00:14.014883,0:00:17.196488,114
set_coverage,SINGLE_SLICE,example.dat,9,0:00:11.264578,0:00:14.546495,50
set_coverage,SINGLE_SLICE,accidents.dat,340183,0:01:01.919825,0:01:05.361715,81
set_coverage,SINGLE_SLICE,chess.dat,3196,0:00:11.566433,0:00:14.913041,57
set_coverage,SINGLE_SLICE,chess_small.dat,221,0:00:11.393654,0:00:14.971503,45
set_coverage,SINGLE_SLICE,mushroom.dat,8124,0:00:12.247728,0:00:15.715639,50
set_coverage,SINGLE_SLICE,pumsb.dat,49046,0:00:20.763042,0:00:24.263632,150
set_coverage,SINGLE_SLICE,retail.dat,88162,0:00:16.699227,0:00:20.022166,104
matrix,PURE_PYTHON,matrix_small.dat,3,0:00:00.009999,0:00:00.010999,2
matrix,PURE_PYTHON,matrix.dat,100,0:00:00.013000,0:00:00.015000,3
matrix,PURE_PYTHON,matrix_large.dat,1000,0:00:00.233000,0:00:00.233999,3
matrix,PURE_PYTHON,matrix_ultra.dat,10000,0:00:17.449056,0:00:17.450055,3
matrix,FULL_SPARK,matrix_small.dat,3,0:00:29.357981,0:00:32.663972,2
matrix,FULL_SPARK,matrix.dat,100,0:00:21.616491,0:00:24.931755,3
matrix,FULL_SPARK,matrix_large.dat,1000,0:00:20.588914,0:00:23.875528,3
matrix,FULL_SPARK,matrix_ultra.dat,10000,0:00:27.481381,0:00:30.674764,3
matrix,INTERMEDIATE_COLLECT,matrix_small.dat,3,0:00:17.335733,0:00:20.540552,2
matrix,INTERMEDIATE_COLLECT,matrix.dat,100,0:00:17.997720,0:00:21.436357,3
matrix,INTERMEDIATE_COLLECT,matrix_large.dat,1000,0:00:17.749541,0:00:21.047345,3
matrix,INTERMEDIATE_COLLECT,matrix_ultra.dat,10000,0:00:30.634540,0:00:34.428587,3
matrix,CONFIG,matrix_small.dat,3,0:00:11.420576,0:00:14.821082,2
matrix,CONFIG,matrix.dat,100,0:00:11.488341,0:00:14.814694,3
matrix,CONFIG,matrix_large.dat,1000,0:00:11.402607,0:00:14.722174,3
matrix,CONFIG,matrix_ultra.dat,10000,0:00:29.481979,0:00:32.920724,3
matrix,SINGLE_PARTITION,matrix_small.dat,3,0:00:08.382165,0:00:11.548063,2
matrix,SINGLE_PARTITION,matrix.dat,100,0:00:08.505633,0:00:11.676762,3
matrix,SINGLE_PARTITION,matrix_large.dat,1000,0:00:08.670207,0:00:12.024894,3
matrix,SINGLE_PARTITION,matrix_ultra.dat,10000,0:00:21.322267,0:00:24.616761,3
matrix,SINGLE_SLICE,matrix_small.dat,3,0:00:11.606798,0:00:15.147511,2
matrix,SINGLE_SLICE,matrix.dat,100,0:00:11.498080,0:00:14.812312,3
matrix,SINGLE_SLICE,matrix_large.dat,1000,0:00:11.794566,0:00:15.120638,3
matrix,SINGLE_SLICE,matrix_ultra.dat,10000,0:00:28.167821,0:00:31.478027,3
